"Tipo","horario","Nombre","Base","Departamento","Dirección","x","y",""
"SVB","24H","BRAVO 16","LA NUCIA C E LA NUCIA","16","Carrer l'Ermita, 43, 03530 La Nucia, Alicante","38.61517310","-0.12581706",""
"SVB","24H","BRAVO 17","CALPE CS CALPE","13","Grupo Antonio Ramos, 6, 03710 Calpe, Alicante","38.64426970","0.03755093",""
"SVB","24H","BRAVO 18","JAVEA CS JAVEA","13","","","",""
"SVB","24H","BRAVO 19","DENIA BASE DENIA","13","ambulancias grupo ASV transporte sanitario ayuda, 03700 Dénia, Alicante","38.8384509087","0.0861096382",""
"SVB","24H","BRAVO 20","PEGO CS PEGO","13","Carretera de Dénia, 50, 03780 Pego, Alicante, Alicante","38.843075037","-0.11089325",""
"SVB","24H","BRAVO 21","ORIHUELA CS ORIHUELA","21","Av. Principe de Asturias, S/N, 03300 Orihuela, Alicante","38.0854582787","-0.93814015",""
"SVB","24H","BRAVO 22","TORREVIEJA 1 PARQUE ACUATICO","22","03183 Torrevieja, Alicante","37.9913127422","-0.68278313",""
"SVB","24H","BRAVO 23","TORREVIEJA 2 CS ACEQUION","22","C. Urbano Arregui, 6, 03185 Torrevieja, Alicante","37.9778909683","-0.69399476",""
"SVB","12H","BRAVO 24","CALLOSA MUSEO DEL ESPARTO","21","","","",""
"SVB","12H N","BRAVO 25","ALMORADI ANTIGUO COLEGIO","21","C. Mayor, 95, 03314 Orihuela, Alicante","38.09082270","-0.85785627",""
"SVB","12H","BRAVO 26","GUARDAMAR CASA DEL MAR","22","Av. del Puerto, 03140 Guardamar del Segura, Alicante","38.096036911","-0.65984488",""
"SVB","12H","BRAVO 27","PILAR HORADADA INST AYUNTAMIENTO","22","C. Pintor Sorolla, 1, 03190 Pilar de la Horadada, Alicante","37.8580391407","-0.79113364",""
"SVB","24H","BRAVO 28","SANTA POLA INST AYUNTAMIENTO","20","Av. Virgen del Pilar, 60, 03130 Santa Pola, Alicante","38.1940019131","-0.57840228",""
"SVB","12H","BRAVO 29","CREVILLENTE CS CREVILLENTE / C DIA","24","","","",""
"SVB","24H","BRAVO 30","ALCOY CS LA FABRICA","15","C. Alcoleja, 4, 03802 Alcoy, Alicante","38.6964654922","-0.48097372",""
"SVB","12H N","BRAVO 31","IBI U.E.R. IBI","15","C. San Pascual, 5, 03440 Ibi, Alicante","38.62711430","-0.56731939",""
"SVB","24H","BRAVO 32","MURO DE ALCOY PC MURO","15","Ctra. Valencia, 0, 03830 Muro de Alcoy, Alicante","38.77508640","-0.44748902",""
"SVB","12H","BRAVO 33","ONIL CS ONIL","15","Carrer Biar, s/n, 03430 Onil, Alicante","38.6278438568","-0.67757964",""
"SVB","24H","BRAVO 34","VILLENACS VILLENA 1","18","C. de San Francisco, 1, 03400 Villena, Alicante","38.6304402351","-0.86601019",""
"SVB","24H","BRAVO 35","ELDA CS PETREL 2","18","Av. del Guirney, 9B, 03610 Petrer, Alicante","38.4875965118","-0.77721834",""
"SVB","12H","BRAVO 36","NOVELDA ANTIGUO CS NOVELDA","18","Av. Pérez Galdós, s/n, 03660 Novelda, Alicante","38.384706974","-0.75675845",""
"SVB","12H","BRAVO 37","MONOVAR CS MONOVAR","18","Carrer Astronomo Perez Verdu, S/N, 03640 Monòver, Alicante","38.4359264374","-0.83567977",""
"SVB","12H","BRAVO 38","XIXONA CS XIXONA","17","Carrer de les Corts Valencianes, s/n, 03100, Alicante","38.53183150","-0.50484538",""
"SVB","12H N","BRAVO 39","ASPE CS ASPE","18","","","",""
